batch_size,weight_decay,hidden_layers,lr,mean_auc,std_auc
100,0.0003,3,0.0001,0.6546238982121214,0.007267523519274179
100,0.0003,3,0.0002,0.6711866877940231,0.008868715382596157
100,0.0003,3,0.0005,0.6810602715318479,0.011066423790416885
100,0.0003,3,0.001,0.6848316632882754,0.012528025017234662
100,0.0004,1,0.0001,0.6359465574493557,0.009110921165124703
100,0.0004,1,0.0002,0.645867739336121,0.007281733522845691
100,0.0004,1,0.0005,0.6570121359495713,0.0066346360293404695
100,0.0004,1,0.001,0.6626017721445454,0.005383545584456408
100,0.0004,2,0.0001,0.6473581437414182,0.007606164663540695
100,0.0004,2,0.0002,0.656148243405476,0.006609642062633687
100,0.0004,2,0.0005,0.6736657569721298,0.008838277591814842
100,0.0004,2,0.001,0.6820866953810741,0.01061947167905358
100,0.0004,3,0.0001,0.6540121953425346,0.00698482979571654
100,0.0004,3,0.0002,0.6686624841255978,0.007241005900785691
100,0.0004,3,0.0005,0.6837029819165599,0.010059568281250401
100,0.0004,3,0.001,0.6858727317129577,0.012758071768506322
100,0.001,1,0.0001,0.6283571495474838,0.00985750098967546
100,0.001,1,0.0002,0.638508207855132,0.0057618494673269075
100,0.001,1,0.0005,0.6433628363055581,0.003601380692127195
100,0.001,1,0.001,0.642266954757357,0.003169121401963178
100,0.001,2,0.0001,0.6396251480175622,0.007294238563897868
100,0.001,2,0.0002,0.6466232283303824,0.005060396518908719
100,0.001,2,0.0005,0.6531205072809885,0.0040101542193024114
100,0.001,2,0.001,0.6574021162845438,0.0034898806669978475
100,0.001,3,0.0001,0.6454504139411287,0.005176283291251033
100,0.001,3,0.0002,0.6540467858115238,0.005896104031547329
100,0.001,3,0.0005,0.6687978254056057,0.005042696393366135
100,0.001,3,0.001,0.6747277297397719,0.0059094041548817524
250,0.0001,1,0.0001,0.6388904970349556,0.007401515305949614
250,0.0001,1,0.0002,0.6465773047028838,0.007410384601356411
250,0.0001,1,0.0005,0.6587915157798037,0.007768065965944683
250,0.0001,1,0.001,0.6651939701277734,0.008358188347776884
250,0.0001,2,0.0001,0.6479559382134917,0.008406077674688515
250,0.0001,2,0.0002,0.6583622879683954,0.0065652351060548385
250,0.0001,2,0.0005,0.6707267501044554,0.008236687945678296
250,0.0001,2,0.001,0.6730139448322167,0.00863824682533856
250,0.0001,3,0.0001,0.6550253792871229,0.00862141098557751
250,0.0001,3,0.0002,0.6672833984020159,0.00926786522386948
250,0.0001,3,0.0005,0.6730090588055905,0.009086719546755596
250,0.0001,3,0.001,0.6690715236109767,0.01109910110226255
250,0.0002,1,0.0001,0.6375969160180839,0.009336965849033926
250,0.0002,1,0.0002,0.6492914855632388,0.008348058214363246
250,0.0002,1,0.0005,0.6600707213044831,0.008330944293711144
250,0.0002,1,0.001,0.6708747565986588,0.007874716787363126
250,0.0002,2,0.0001,0.6489635604640619,0.008222488061668188
250,0.0002,2,0.0002,0.6604913844738107,0.008293054418517416
250,0.0002,2,0.0005,0.673852070013585,0.010052411470911788
250,0.0002,2,0.001,0.678424462628607,0.011400707943641305
250,0.0002,3,0.0001,0.6537300075267487,0.009513331703372341
250,0.0002,3,0.0002,0.6691927452656516,0.01141571625955238
250,0.0002,3,0.0005,0.679078276868443,0.010293924098386129
250,0.0002,3,0.001,0.6797791181682827,0.011350403517185756
250,0.0003,1,0.0001,0.6382606998355493,0.008975263132927574
250,0.0003,1,0.0002,0.648190706956857,0.007568777571269583
250,0.0003,1,0.0005,0.6587707514865822,0.007687410999254604
250,0.0003,1,0.001,0.6689006747981224,0.007581639413473237
250,0.0003,2,0.0001,0.6486428097636039,0.008068985186032971
250,0.0003,2,0.0002,0.6578691136982392,0.009018461524019215
250,0.0003,2,0.0005,0.6776428300541376,0.01060826081207148
250,0.0003,2,0.001,0.6822685507547657,0.010338491333889954
250,0.0003,3,0.0001,0.6538437450662672,0.006260310039954481
250,0.0003,3,0.0002,0.6676686051885238,0.01474062997894392
250,0.0003,3,0.0005,0.6836918293631096,0.010412265366249942
250,0.0003,3,0.001,0.6847861737358159,0.010868083409177505
250,0.0004,1,0.0001,0.6377349382494145,0.009175234289441102
250,0.0004,1,0.0002,0.6464672058619613,0.007673868791816422
250,0.0004,1,0.0005,0.656498139655306,0.00508316964326107
250,0.0004,1,0.001,0.6623671171759098,0.005943422558671476
250,0.0004,2,0.0001,0.6454759326307058,0.008562127886296381
250,0.0004,2,0.0002,0.6579885690643488,0.006852772199707938
250,0.0004,2,0.0005,0.673688981444678,0.009230508705122526
250,0.0004,2,0.001,0.6819327381383348,0.011297664268100586
250,0.0004,3,0.0001,0.6563239227798174,0.008053384709766558
250,0.0004,3,0.0002,0.667787273006087,0.007801695625126224
250,0.0004,3,0.0005,0.6816229832554612,0.010740866937704405
250,0.0004,3,0.001,0.684404553571483,0.013561720249428736
250,0.001,1,0.0001,0.6297898688412609,0.00853536760017617
250,0.001,1,0.0002,0.6383444153661263,0.006104234009815096
250,0.001,1,0.0005,0.6422050651291102,0.004905057143786711
250,0.001,1,0.001,0.641196581596051,0.0043230324686587985
250,0.001,2,0.0001,0.6397488537621886,0.007254990200992977
250,0.001,2,0.0002,0.6457039170929728,0.004846864672733601
250,0.001,2,0.0005,0.6535858866823423,0.004449931003694767
250,0.001,2,0.001,0.656435322759344,0.003888658983817383
