Site,Observed,Predicted
230,19,20.64479768972594
231,9,20.70338730640207
244,2,20.523933416079387
245,21,20.623524442568627
246,16,20.31488097102165
247,5,20.572313407638795
248,21,20.304279925411656
249,14,20.3613367828425
250,1,18.857016569565037
251,15,18.91421976110285
252,23,18.950386502072245
253,25,19.047217539858806
259,16,20.674791102439347
260,8,20.60185746017065
261,22,19.67827067143031
262,19,19.535911078785503
263,4,19.17721713781056
264,24,19.414160773558123
285,4,20.876371798303396
286,11,20.643587735431286
287,5,20.63180450559497
288,23,20.842700591989612
289,4,20.877559689362243
290,12,20.901864422155047
302,28,19.82649640852919
303,5,19.917633077631407
304,10,19.680392707453105
305,9,22.014932745168803
323,33,22.785384626829632
324,10,22.724232602098304
325,17,22.824560782875462
326,6,23.230371599224046
327,34,23.29634748327219
328,14,23.1592431600788
335,13,20.05334081558783
336,2,19.69416336091977
337,16,20.12324250868583
338,7,19.961864824523452
339,1,20.010984057433706
373,10,21.680368121110035
374,10,21.775887893201617
375,4,21.528413192532543
399,11,22.265502198224333
400,12,22.301657114874274
401,21,22.44817416019042
402,17,22.19909114538518
403,19,22.48368991256796
404,29,23.117864528425347
414,6,21.639132322384608
415,3,22.398754164238383
416,16,21.54861459960235
417,14,21.634375997215088
432,20,23.23981662160297
433,27,23.258534750237693
434,7,23.40921458807921
435,5,23.670863804667825
436,8,25.42811919850754
487,8,14.76838163236902
488,13,14.372791884524954
489,6,14.719709590925799
490,13,14.624638677376215
491,17,14.51926005365809
492,13,15.713306285223036
503,11,14.248232756720975
504,16,14.381723862191562
505,15,14.159105682091601
506,12,14.254263481305514
512,23,19.320455228797666
513,16,19.61494075682308
514,19,19.093311927752854
525,17,20.299320041650862
526,5,20.292609575148134
527,21,20.115020060159264
528,22,20.40162875316952
529,1,20.18655061008636
530,20,18.123814184825168
531,5,18.406030910380867
532,16,18.156733274675066
533,18,18.0158775945268
534,5,17.61257607550322
546,12,18.33513937449817
547,3,18.610957127218143
548,17,18.68041024577589
549,15,18.722707347813653
550,3,18.431809346364556
574,18,15.038418928727081
575,24,15.125228892832345
576,5,15.218096579025282
577,31,15.083080331877863
578,3,17.736629350187116
579,19,18.259239002961976
585,18,17.85976679445765
586,7,17.800315163962022
587,18,17.860223602349155
588,5,17.607286937020284
589,11,14.336248694415591
590,19,14.739168706874823
591,10,14.649740431076404
592,17,14.839301590639113
593,7,14.433145414625484
594,9,14.520295983393355
595,6,15.05329226661015
596,16,15.456763677927162
597,8,15.001284309823593
598,21,14.971853062717626
599,5,14.736635728274976
600,13,14.685080186777302
601,8,14.737150532607835
602,16,14.665058224204051
603,11,15.635368376179251
604,21,15.927587728109888
605,5,15.669213047049876
606,13,15.504490469623462
607,11,15.701471800884947
608,16,17.320630265881352
609,9,17.693763556376712
643,23,16.135580993157053
644,8,16.17304873698143
645,17,15.732589268056193
646,16,16.495914291272854
647,9,16.507825653072697
648,22,16.503384538270975
649,21,16.566013688993063
650,9,16.44290306340877
651,14,16.0615868976591
652,18,15.484053506834679
653,22,15.324637745144106
654,16,15.594490657347789
655,13,15.723970711752006
656,21,15.747795991121002
657,14,16.899172435725436
658,16,16.95408508412819
659,16,16.80181201838809
660,27,16.951036903576146
661,15,17.07970172564488
662,15,16.99702674551892
663,15,15.289848348346412
664,23,15.224803699434874
665,3,15.312063554103474
666,12,15.16920308681271
667,19,15.255448909085949
668,22,14.760330420981044
669,29,15.983811717273557
670,5,16.116118571264252
671,14,16.0588959507266
672,18,15.686581013881664
688,19,15.264220561068507
689,12,15.431136212627688
690,23,15.699049367798953
691,4,15.001430312293882
692,15,15.740811161702236
693,20,15.284804702915428
694,18,20.39041345203235
695,20,20.586966865868337
696,4,20.38740589615483
697,15,15.270076744922841
698,14,14.740060954840526
699,7,14.693683586493034
728,16,14.86149942830878
729,9,14.730699871978079
730,13,14.639122991463493
731,13,14.934196653390511
732,16,15.364195655833818
733,16,15.05022902694058
740,16,15.00697940523647
741,7,14.827193571192158
742,3,14.797773002900911
743,23,14.71224900317221
744,4,14.821817143276476
745,24,14.61826863862802
746,10,15.225827541860875
747,7,14.981487875860324
748,7,14.681697273836322
770,17,15.101415812409469
771,26,15.419315744322118
772,7,15.509046489044778
773,15,15.457872016102167
774,5,15.046839899541466
775,18,14.851673077177038
814,12,18.68184851425027
815,5,18.504002232852287
816,18,18.821092206042458
817,9,18.074898306787134
818,14,18.251575627292926
819,9,18.306407721288195
842,20,18.127147332413443
843,3,18.313450939563026
844,2,18.406719996321634
845,3,17.683223900285316
846,14,17.82666471166531
847,7,18.307883683733614
905,21,21.392766018063078
906,17,20.911143265860147
907,6,21.407849209301585
908,14,21.69410913305351
916,16,21.99959045902657
917,4,23.12597498896951
918,22,21.78510476022109
919,25,22.595471452250827
920,14,22.20887122959944
921,14,22.472014342657232
922,13,21.994472493308805
923,22,22.140746102545883
924,15,22.2377058402575
925,21,22.138263552359124
926,12,22.399573812127137
1005,12,26.39665477341558
1006,20,26.447403889026795
1007,6,26.569223440157927
1024,20,20.132888236973667
1025,14,20.364602113023707
1035,17,20.31370816620128
1036,10,19.96494006999143
1037,14,20.31579021652692
1063,8,17.108119349902328
1064,10,17.124081708639935
1065,28,17.42268088918806
1089,21,17.672671604757852
1090,9,17.830770447069376
1091,20,17.47908496232138
1092,16,17.68663457008118
1093,4,18.271781982182635
1094,21,17.46085136978618
1095,5,16.18612192413099
1096,20,16.03884543999532
1097,17,15.903913432548645
1098,11,16.188820867184898
1099,22,15.900310671067714
1100,5,16.424857183609635
1101,16,16.901483904795413
1102,20,16.593928644292095
1103,8,16.110023312921044
1120,20,16.70597032737055
1121,16,16.6646522424991
1122,17,16.731619951574967
1123,26,16.50788188564338
1124,17,17.34850778739661
1125,15,18.061381571283285
1126,19,17.640084114466752
1127,25,17.512571446153657
1128,18,17.602437003494643
1129,12,16.145269773995828
1130,16,16.457713638796513
1154,3,16.059075861757837
1155,28,16.30017867181495
1156,22,16.563008662352335
1157,17,16.58772398237873
1158,7,16.542098435439964
1159,19,16.055569870177855
1160,3,16.45690612415681
1161,24,16.410090392398512
1168,16,16.136385942289955
1169,22,16.09045835225029
1170,9,16.03672444448842
1171,17,16.359859082519737
1172,3,15.843891101210227
1180,13,16.716013813982485
1181,8,16.481601118748877
1182,7,16.44365817422754
1183,27,16.62315862977482
1184,16,16.217155746634553
1185,11,16.43507873977543
1186,6,16.814101055665482
1187,8,16.741263967302128
1188,23,16.109899018524704
1189,15,16.52905099161271
1190,13,16.484484390571488
1191,16,15.875307155532449
1192,6,16.255822524247968
1193,26,16.82851111899937
1194,16,16.471354541929237
1195,15,16.85690901877894
1208,7,17.222656625691684
1209,13,17.587322092827396
1210,11,17.399314998080474
1211,12,17.415797625413074
1212,15,17.38083694692619
1213,22,16.566682097604065
1214,16,16.36268675320556
1215,1,16.44036278352613
1216,17,16.30119092949933
1217,9,16.853782843580227
1218,23,16.17082019249489
1219,18,16.210257457747034
1220,5,16.354928635317684
1221,17,16.372196627391535
1222,7,16.14547333785952
1223,21,16.668999398710714
1224,24,16.145506634084068
1225,3,16.35438329295191
1226,15,16.495219013313402
1227,12,16.34623006985452
1228,7,16.28076903576143
1229,31,16.154961033605655
