average_stand_diameter_gt15_mean,average_stand_diameter_gt20_mean,average_stand_diameter,average_stand_length_gt200_mean,canopy_cover_broadleaves,canopy_cover_whole_stand_gt60_mean,old_grow_indicator,stand_age,mean_temperature_yr_last,mean_temperature_yr,tree_extent,tree_height_mean,tree_height_stdev,tree_remove,volume_spruce_gt150
1,1,19.249172880115765,1,14.046102363713027,1,1,56.86189084829714,286.50084344871067,287.1862791465895,9446.319036009707,16.30843899175749,5.459095033733108,20.533903445582837,0
1,1,15.135617918134402,1,22.252911879592627,1,1,44.12989606337061,286.4620293704372,287.15108715063724,4468.943282459804,14.189861194528211,6.408607684772652,26.49664957821369,1
1,1,20.452098610190713,1,12.347843499670272,1,0,59.90677773236738,286.5514500709893,287.2357810767171,8252.014005924857,16.881762499818407,4.322893162577337,0.003277620766311884,0
1,1,15.723025334879043,1,8.54496386455278,1,0,50.62331307306231,286.5353593601803,287.21621611942885,2141.340006750602,13.010103034901025,7.213605858162232,2.9007872343063354,0
1,1,21.48608244249356,1,6.594404392789895,1,0,66.20730213067118,286.5522009813028,287.22802475148706,620.343350494697,16.58642506083639,5.602516305773296,0,0
1,1,17.81657445313721,1,13.655018427504372,1,0,53.1008773060309,286.5152163741734,287.2001000085989,12293.498671007266,14.961708630306644,6.357543775271292,34,1
1,1,16.359698645832882,1,6.792920889964275,1,1,52.78784728394212,286.6098708899213,287.22887071640304,11460.869160954178,13.70075682085505,6.339107641691505,56,0
1,1,16.142385073423846,1,13.035675329311005,1,1,48.682878226087716,286.6155382463928,287.2332347349949,878.8517560997279,12.195644322937053,7.877243688312146,18,0
1,1,16.55433744400878,1,6.632385670895393,1,1,54.28121273884141,286.619361658453,287.2401098882975,10518.041683543262,14.252902681575277,5.959256503225788,93.94042833079584,0
1,1,14.941753558012458,1,7.055830027712522,1,1,48.60359959691891,286.60405501572234,287.22306438873994,3177.9052910785117,12.449556971219563,6.66690877881475,28,0
1,1,15.721850941740716,1,9.445873562268298,1,0,49.48251012410252,286.60750613358783,287.2252285839699,4754.591785286611,13.230055195384931,6.34947712686674,18,0
1,1,14.938181586901237,1,11.514144672919162,1,1,46.43392398408751,286.6544353569986,287.2741742596795,4424.458584292235,14.246182998042757,5.58023634288095,0,0
1,1,14.96026090604242,1,11.084819195699431,1,1,45.18969812984348,286.63494940736496,287.2515676198608,3737.8313608939425,14.504588646000906,4.5394695300276116,0,0
1,1,15.998880831239347,1,9.15792705172981,1,1,50.35227688008803,286.6686646373763,287.286499803943,7549.245356671249,15.000396902940379,5.68176280058283,2,0
1,1,13.473706082317811,1,8.403754924026549,1,1,48.0434962742259,286.65423228110313,287.27059708713057,1450.4674101677447,14.424967396979428,5.265353925451184,1,0
1,1,14.132726204887177,1,12.372021465602666,1,1,46.19227832108734,286.60809683837044,287.2210936598261,551.3569032921223,13.964163018724149,5.107528489996414,0,0
1,1,16.539025836772115,1,8.832227874773888,1,1,52.06427250125795,286.654708796204,287.27072402682455,10251.443843374507,14.590225219848664,6.444873569426916,1.9876469373703003,0
1,1,17.729701669255743,1,11.118139022019426,1,1,49.739352803746975,286.2486850460822,286.8690585687323,11269.951221774849,13.111966301571643,8.408799621065796,32.97167553752661,1
1,1,15.682384953648729,1,17.7952016220194,1,1,44.44661047064496,286.27266336270867,286.89334557651915,3602.910849004056,10.783243083970552,8.448103971308662,0.190298393368721,1
1,1,17.067169344141323,1,12.083040965575266,1,0,48.642989280558375,286.2282279093953,286.84948960479227,3093.8495211491827,14.060019278905994,7.708941009476161,67.78239464759827,1
1,1,13.937145671629732,1,15.597389090792655,1,0,40.430236841034855,286.21906158154474,286.84807229875537,726.921724304455,10.11326887479708,7.96388168920807,31.50772120174952,1
1,1,16.220223353882083,1,15.083417217107717,1,0,46.14843547610179,286.2529373485146,286.8755089641357,12787.736652513762,12.49035713842161,7.543639451475545,3,1
1,1,19.138217030257298,1,9.49080470291862,1,1,55.61424223998249,286.0687058795295,286.6744319309953,12299.178595912044,16.427062661173917,6.969932995750376,0,0
1,1,16.047161286962854,1,12.242703498867296,1,1,46.70219817262258,286.0794937507782,286.68109802655977,1844.6987990255839,14.125118092972833,7.782561917438867,0,0
1,1,17.261797494543806,1,9.206990330795389,1,0,57.49324124461216,286.0586996166856,286.66893602641363,1384.1300575578389,15.967125318963829,6.729154305857589,0,0
1,1,17.056233465459197,1,12.077097657883437,1,0,52.920665329379084,286.02605616208047,286.63039098795804,2541.391798920813,15.208433638820114,6.9609351779831865,0,0
1,1,15.802283731449075,1,8.258804257862906,1,0,59.231419134895305,286.02721538362096,286.63938596016476,725.462702688048,14.217883790276746,6.929194200167881,0,0
1,1,19.728664849326023,1,10.095306007669551,1,0,56.442490066246485,286.07631516051896,286.6816448454311,10475.488304504775,16.449257497775317,7.031918389109636,0,0
1,1,17.019011866737777,1,13.962873230450837,1,1,49.53523038455345,286.2274135733293,287.02031525951867,9246.823674783926,14.797654562364002,6.342841613500512,108.33022554963827,0
1,1,15.948273014273086,1,18.715741099079047,1,1,45.491069354133096,286.2292650056078,287.02316788787573,4044.7297858377315,13.445952657198449,6.608331521390619,102.55130197107792,1
1,1,17.50589305055445,1,13.661241277895805,1,1,50.614795183177485,286.23786881960564,287.03005342668126,8887.908543821199,14.727196498834118,6.306557259958545,44.941352762281895,1
1,1,15.604651318771248,1,16.234853442556382,1,0,44.919451730697226,286.19955183210817,286.9935860108736,7504.9242782640085,14.156413598463764,6.169367234699143,20,1
1,1,17.032413940599064,1,13.188756899384378,1,0,52.133109661861845,286.2439781589722,287.0374780426527,2785.352102467352,15.133393892743241,5.836492860536277,0,0
1,1,16.756889431084847,1,14.727234737894724,1,0,47.715707272226844,286.2330938147331,287.0254230709265,8830.380098710282,14.44874202631739,6.2336104529512415,3.6366669982671738,0
1,1,19.95488176332884,1,9.826743618739183,1,1,55.54417330349629,286.4311690710406,287.25123886333495,2057.1239147384476,16.3015674123821,5.764467680415551,3,0
1,1,14.94358677516042,1,22.091090171810087,1,1,41.68022705576446,286.4742784131171,287.2978620757204,5705.778546837813,12.408244159135691,6.7350299972705265,154.4458947777748,0
1,1,17.26452272037134,1,16.17891496519972,1,0,46.51385796167105,286.4382403210005,287.2629659416888,2243.4909346046716,15.068740878390779,5.5321734791010355,119.07294960319996,0
1,1,15.401990233067105,1,19.757611423719226,1,1,43.09952606888338,286.48285803516893,287.30236485990093,6034.585311313142,12.814422613576035,6.425733845972771,0,1
1,1,20.119397257452764,1,10.156170886648828,1,0,55.54828851660327,286.48639952240654,287.30446719584774,2140.6574254991174,16.66655705191355,4.314182984536769,0,1
1,1,17.636423974008473,1,15.511521172500588,1,0,48.92540474160404,286.45440231411743,287.2753440781365,13416.2467369607,14.521932912063603,6.121970478204141,378.1807371377945,1
1,1,15.524520569424311,1,8.251850780880552,1,1,48.73282137454425,286.4495503165805,287.27634372921636,6741.318977124222,12.687134702503489,5.537545699998162,26.423691630363464,0
1,1,15.171741446998357,1,9.332535934556155,1,1,47.60802733330798,286.45434908105454,287.2803954333635,5573.942071897509,11.90930677070418,6.943849728286421,33,0
1,1,16.573497378431096,1,7.856523140471354,1,0,51.48532002259641,286.4516888785056,287.2774111094077,24609.403417995083,13.211379947061703,6.086664589260608,96,1
1,1,14.758203428250571,1,7.578551346525257,1,0,46.782482747904325,286.44463535146053,287.27068618468445,4253.5237706020325,11.637999360956496,7.302199338233005,50.02564537525177,0
1,1,18.10320049238154,1,7.024281758370212,1,0,57.254791379771376,286.46868896484375,287.2857666015625,703.8606173697917,16.051219604139856,2.4232299088638496,0,0
1,1,16.63920973207528,1,8.164728892721813,1,0,51.70616503298027,286.4587942412814,287.2831210220275,22847.12088271721,13.001678598946173,5.7238637995788535,32,1
1,1,17.353581677991123,1,7.9933287519611005,1,1,48.34310368360822,286.24947695969945,287.0637166817495,8401.855221077363,17.170366669754316,3.4913053357783808,4,0
1,1,13.400062394092895,1,22.478669470359222,1,1,39.319304277569096,286.23841059267374,287.0582264002292,3164.651655655325,14.928430746368713,3.958377027312808,0,0
1,1,16.237359163696564,1,8.163143932294492,1,0,45.5790937900811,286.2508434658139,287.06133897465963,13498.706315279065,15.760875666759453,4.0087899718374285,30,0
1,1,14.574209355201326,1,4.68057461727211,1,0,44.72135450195712,286.23561318755924,287.03691911916,1868.6495030091764,12.791885427092277,5.193635859376542,26.86017346009612,0
1,1,13.407854572019817,1,5.9067056634475925,1,0,44.79654903100355,286.24570896511375,287.04756784886047,1062.5564331016212,11.596749954384553,5.6880911497120294,12.841860473155975,0
1,1,15.793113531647679,1,11.739238816962708,1,1,44.67589762452561,285.6800640252928,286.55484368440005,7644.856438303077,12.314170981373934,6.6078645628201285,358.3004055172205,0
1,1,12.24060072441982,1,23.49107934417005,1,1,34.19124480477816,285.7531824537049,286.63193652426406,1036.0946861649727,12.374098110686504,5.969946173208916,0,0
1,1,14.21325347960958,1,15.822947548087523,1,1,39.7306310141354,285.7150311856296,286.59336887975957,5509.211436864178,12.30005561803792,6.280142089626374,12.768992190249264,0
1,1,14.260088247142168,1,12.926526896253907,1,1,40.44079401130836,285.6910207408982,286.567704613189,8598.41667642139,11.308667260467724,6.7227358965726385,286.73927976191044,0
1,1,15.464830417272186,1,12.456549504458593,1,1,43.38560694314029,285.68120067456226,286.5585224038748,8215.188964702418,12.713471616666844,6.391063312402619,3.6431887820363045,0
1,1,19.154941336103928,1,11.292963276553646,1,1,56.32711664808348,286.0972522774051,286.80790125727754,7945.965066198056,15.730624339295051,5.674232354156278,6,0
1,1,17.206729158654145,1,19.895726586751437,1,1,44.545247503163594,286.1012268066406,286.81585693359375,580.6693416237831,15.31432704208278,4.350229249177966,0,0
1,1,19.73686546922202,1,10.117045661580878,1,1,60.45948343955573,286.10145865730556,286.8129199316534,4987.245210281441,15.789050765080912,4.605536046173397,14.905856609344482,0
1,1,16.01302155381836,1,14.83263644008484,1,0,49.49071389728254,286.0922006518448,286.80553575660116,1109.1781264374222,13.081903675425147,5.9513277877186415,8.8667401522398,0
1,1,19.04315948160491,1,8.151282052711066,1,1,63.502589290162646,286.1025876345072,286.8150677621147,576.9241336584091,16.563336368152168,3.8660138980034593,0,0
1,1,18.179751159718908,1,11.876220002453898,1,1,54.19695417766592,286.1004202147926,286.8119396263352,15731.162689255687,14.709218029284978,5.938829258565817,62.079881742596626,0
1,1,19.116711162511464,1,9.406496786878416,1,1,55.73353358551396,286.4378377451995,287.2069081467851,5801.2663168659055,14.997090164171865,5.930362821659471,34.62299099564552,1
1,1,20.333361782767817,1,14.37734321483201,1,1,54.219209535597244,286.4207858829415,287.1860541398495,1031.8833108184626,18.22015450643581,3.214763993637812,0,0
1,1,19.481793609272085,1,7.900787083371746,1,1,58.417893221997936,286.41172431081515,287.1779328446099,15409.442748658461,15.702835465721977,5.24000750619709,48,1
1,1,18.684603881744998,1,7.354955807710007,1,1,56.06412266125032,286.4021064339667,287.1698935584157,9901.904501916277,14.725309933776972,5.599674184835471,46.421600461006165,1
1,1,17.180031223584713,1,7.798842533524419,1,0,59.97247118836189,286.2739037259919,287.0356641553086,1891.1580792457526,14.787315270870419,4.274816617307982,0,0
1,1,18.914817239206982,1,8.016337240671982,1,1,57.13411592055179,286.3963544874622,287.16240746979156,22132.819138497616,15.306490909084864,5.054064959310515,77.9053253531456,1
1,1,17.541801422462,1,10.199925664093223,1,1,54.161892243077446,285.9065873819093,286.7859453043233,4449.9987294862185,14.888129771932675,7.7534549187420785,44,1
1,1,17.681823973964352,1,12.172155652771782,1,1,55.00314403764522,285.89938997390703,286.77897662973066,2260.6442817229654,16.505076932346427,5.868797287074976,0,1
1,1,14.809476303773815,1,14.37604719871565,1,1,46.92519792666028,285.9122332182711,286.7926398853238,2669.39636222672,13.897846576269727,7.299138131815368,9.057162046432495,1
1,1,18.790366455619303,1,9.882642429016457,1,1,57.289386440768986,285.8807223748697,286.76203250151144,978.4567055747175,18.185353433827764,5.35517504355196,0,1
1,1,17.133437137693388,1,11.369846312095945,1,1,52.91180125222435,285.89546254183335,286.77513612880597,6942.750555691362,15.059925185212139,7.496970722084795,43,1
1,1,17.71804935492692,1,11.343486410183193,1,1,50.84977167974271,285.8289924820481,286.708712327788,12139.1690809984,14.848827985648184,6.337987411837023,0,1
1,1,14.414934220360688,1,21.601844062183226,1,1,40.39982649000038,285.70923586491307,286.5911837544028,5158.125756576832,13.004702480481864,6.698628008828423,17.236715846695006,1
1,1,19.48322084934028,1,7.409038324589184,1,1,57.34371153904863,285.7943445599467,286.67600142775285,3388.723081790202,15.028008300310322,6.585045882046875,2.2265157774090767,1
1,1,11.293464021328125,1,21.147123270341098,1,0,32.877278964200094,285.9281048649573,286.8037220488683,667.5489512970671,9.891954327470248,6.798512873052969,0,0
1,1,17.701611547738757,1,13.499307919597372,1,1,49.86738451253292,285.76903623762087,286.6503611500944,7438.261912630507,14.876972630907034,6.408433078223029,8,1
1,1,13.544513461091345,1,23.23136997936711,1,1,36.544486177988794,286.3434557298682,287.2849655899931,2908.2384370310574,11.205082198048462,6.5949557951846725,8,0
1,1,13.661620048311368,1,19.32285550079836,1,1,38.88932367555865,286.1967407260014,287.1326969646417,10884.960520031455,12.096326612364809,6.013530118405897,58.71062169969082,0
1,1,15.07991597613094,1,17.38945043906338,1,0,42.655208689997785,286.20988455916165,287.1435594415129,5780.129161271798,12.963015850583027,5.494527399156029,142.69862864847528,0
1,1,13.999786277094985,1,18.80386910467807,1,0,39.44983710598699,286.2527289716259,287.18909931021733,7348.401379700947,12.443510953545264,5.641482881105797,55.669052481651306,0
1,1,14.379514263015492,1,18.409797049154147,1,0,40.576002565668134,286.19727736039295,287.1328108427731,10492.976760455604,12.428528773202762,6.047491108835063,76.78847040515393,1
1,1,15.569812388650435,1,11.702209475756314,1,1,42.16822785350119,286.30055027013543,287.3519306171628,6479.910878948541,14.651402525178254,5.815204385331848,34,0
1,1,13.889430761041028,1,15.265076592358067,1,1,37.471757657006506,286.30626685733574,287.3602688147961,2484.2283448754533,13.632928841329322,5.450770170352868,2,0
1,1,14.439883547999301,1,12.539403129990657,1,0,39.518203397544696,286.3155810887951,287.36884862006167,10080.619316925138,13.859648662314198,6.1132484526066655,155.54921719431877,0
1,1,14.226548045810386,1,14.332319490570594,1,0,38.909374973115476,286.3210045424986,287.37650547345424,10330.42133458782,13.33019540920373,6.278369191079346,83.23544662445784,0
1,1,14.281836627577974,1,15.853447429701944,1,0,38.59752170428091,286.29564845640994,287.3475581788901,1205.4308990062843,14.61146847491744,4.30878361484714,25.28454052656889,0
1,1,13.839395036989664,1,13.86409471383383,1,0,38.42661311695124,286.3263890944758,287.3818575174564,9782.451276765409,13.162074840484706,6.278613487831772,130.99640583992004,0
1,1,16.087793761544038,1,7.2062610878475475,1,1,56.701522220457065,286.17670455828437,286.6664176124574,4650.807397788582,13.82284883233264,5.541776443222658,2,0
1,1,12.819482645410488,1,6.6424764641141945,1,1,57.26273424915413,286.21601035813524,286.69385542815075,1705.522120458998,12.065658394301007,4.196063334303062,0,0
1,1,15.12381254656674,1,6.720566753210157,1,0,58.06361666521282,286.1981565446671,286.68197391451406,6039.674490121448,13.26503882503174,4.93225113470173,0,1
1,1,15.094467497725267,1,7.942332396052747,1,0,51.93301796136599,286.16688571709324,286.65832943173274,3515.8469216467056,12.758244801604102,6.141809484917476,3,0
1,1,13.630433400759689,1,4.853138852450366,1,0,60.14053698193169,286.21965644705733,286.69654534046794,671.3130263508065,12.792664521801994,3.9223776163589337,0,0
1,1,14.958728813328095,1,7.052663833441175,1,0,56.381817183269575,286.1917405031719,286.6775863864329,5303.025636604285,13.093781877963142,5.0360373481357845,0,1
1,1,14.2617260568486,1,0.862375924638971,1,0,62.74649568894471,286.2218024062706,286.94408970099977,5515.692367664377,9.977690705788262,3.7525887016525172,51.87241369718686,0
1,1,8.717329027404674,1,1.7910119675137877,1,1,53.204292421934554,286.26320088977207,286.9786534613259,2228.8545757988013,6.6185131930343175,6.165625142071619,1.2268954366445541,0
1,1,12.348927908531266,1,1.0879078527064776,1,0,61.813531417967255,286.2650145430895,286.9833150490146,839.7525629686133,9.249467667965478,4.889162712184606,2,0
1,1,14.88043627250809,1,10.648355901136819,1,1,51.47708839045244,285.8640143609213,286.61597076421026,1339.2111703590635,13.964678367751539,5.3728277349248295,0,0
1,1,15.310122268899114,1,5.848752034913025,1,1,53.79023492425061,285.87195074297284,286.6210654983189,4742.664316392979,11.740654210181285,6.228559683265976,239.13599305436946,0
