X,Y
26.312619591497203,60.524332244373284
26.31955865558742,60.51771481941723
26.313583769338138,60.526003606567286
26.316318360250207,60.526339480082115
26.309168656020972,60.53123932368392
26.320406527383835,60.52019238355489
21.728927380859254,60.60117801422957
21.72005734128983,60.598506971745515
21.729157778850535,60.60817214363948
21.726418037946097,60.60797190880985
21.73377305934776,60.5963492030209
22.190964093439003,60.66407796606034
22.191857593407555,60.67160314282287
22.19285699635339,60.666432401940035
22.194201027201085,60.66724986352244
22.198318892101142,60.66486984208459
22.192712877925366,60.65936831452169
23.558418370343013,60.70691087995251
23.570100596828738,60.702285633452775
23.560519231129607,60.710440392019876
23.560861634888568,60.70387015429228
24.47988824733608,60.73702904583104
24.485192596241784,60.73681504944933
24.484912006026946,60.73984017849528
24.471693573729226,60.736195407400196
24.478454514110364,60.7378791741852
26.28954573222323,60.74795225294293
26.284455810199965,60.75007837719498
26.282388050785578,60.75251443092486
26.28519987335855,60.741122914632996
26.28369846353875,60.75030441809579
27.225462248817347,60.75469242164442
27.226863544915563,60.74893209222357
27.220362618523243,60.751693139258805
27.231179136313713,60.754353113399866
27.225899922495024,60.754182772570964
24.91884720058623,60.95630300903559
24.924539865563666,60.950306483440016
24.926804314130777,60.95078655465551
24.915804365292196,60.94971950704663
24.92132429365943,60.95790335622709
26.761380777160635,60.97896821828751
26.773675769826067,60.9700955443518
26.76452309248344,60.97651650888804
26.767927134998516,60.97700319162653
26.766377877477087,60.98522336192266
26.771951463922054,60.976265045357316
22.58711247613006,61.12528485115327
22.595937037072908,61.13303202516888
22.583409401071645,61.13207123925664
22.58423963765541,61.12784910419924
22.577538331416818,61.13133395657964
22.5949111570691,61.13609866216573
23.05064179501694,61.140835662042846
23.058587093141153,61.13436506829096
23.047706590905822,61.14869525370701
23.05132970195012,61.145419494444546
23.040568444906185,61.14467468928479
23.51630065425014,61.15835374962837
23.51432055597745,61.151999555390255
23.512966737360983,61.1485704812998
23.512185301809374,61.15485772270853
25.817290105942973,61.19470256000976
